CRIT_CODE,GRP,DESC1,DESC2,groupDescription
1,S, National,SPARCloc,SPARC
10,S,Christchurch,SPARCloc,SPARC
11,S,Clutha,SPARCloc,SPARC
12,S,Dunedin,SPARCloc,SPARC
13,S,Far North District,SPARCloc,SPARC
14,S,Franklin,SPARCloc,SPARC
15,S,Gisborne,SPARCloc,SPARC
16,S,Gore,SPARCloc,SPARC
17,S,Grey,SPARCloc,SPARC
18,S,Hamilton,SPARCloc,SPARC
19,S,Hastings,SPARCloc,SPARC
2,S,Ashburton,SPARCloc,SPARC
20,S,Hauraki,SPARCloc,SPARC
21,S,Horowhenua,SPARCloc,SPARC
22,S,Hurunui,SPARCloc,SPARC
23,S,Invercargill,SPARCloc,SPARC
24,S,Kaikoura,SPARCloc,SPARC
25,S,Kaipara,SPARCloc,SPARC
26,S,Kāpiti,SPARCloc,SPARC
27,S,Kawerau,SPARCloc,SPARC
28,S,Hutt City,SPARCloc,SPARC
29,S,Manawatu,SPARCloc,SPARC
3,S,Auckland,SPARCloc,SPARC
30,S,Manukau,SPARCloc,SPARC
31,S,Marlborough,SPARCloc,SPARC
32,S,Masterton,SPARCloc,SPARC
33,S,Matamata-Piako,SPARCloc,SPARC
34,S,MacKenzie,SPARCloc,SPARC
35,S,Napier,SPARCloc,SPARC
36,S,Nelson,SPARCloc,SPARC
37,S,New Plymouth,SPARCloc,SPARC
38,S,North Shore,SPARCloc,SPARC
39,S,Opotiki,SPARCloc,SPARC
4,S,Bay of Plenty,SPARCloc,SPARC
40,S,Otorohanga,SPARCloc,SPARC
41,S,Palmerston North,SPARCloc,SPARC
42,S,Papakura,SPARCloc,SPARC
43,S,Porirua,SPARCloc,SPARC
44,S,Queenstown Lakes,SPARCloc,SPARC
45,S,Rangitikei,SPARCloc,SPARC
46,S,Rodney,SPARCloc,SPARC
47,S,Rotorua,SPARCloc,SPARC
48,S,Ruapēhu,SPARCloc,SPARC
49,S,Selwyn,SPARCloc,SPARC
5,S,Buller,SPARCloc,SPARC
50,S,South Taranaki,SPARCloc,SPARC
51,S,South Waikato,SPARCloc,SPARC
52,S,South Wairarapa,SPARCloc,SPARC
53,S,Southland,SPARCloc,SPARC
54,S,Stratford,SPARCloc,SPARC
55,S,Tararua,SPARCloc,SPARC
56,S,Tasman,SPARCloc,SPARC
57,S,Taupō,SPARCloc,SPARC
58,S,Tauranga,SPARCloc,SPARC
59,S,Thames-Coromandel,SPARCloc,SPARC
6,S,Carterton,SPARCloc,SPARC
60,S,Timaru,SPARCloc,SPARC
61,S,Upper Hutt,SPARCloc,SPARC
6100,S,Any applicant type,SPARCStat,SPARC
6101,S,School,SPARCStat,SPARC
6102,S,Individual,SPARCStat,SPARC
6104,S,Local authority,SPARCStat,SPARC
6105,S,Commercial organisation,SPARCStat,SPARC
6106,S,Sports team,SPARCStat,SPARC
6107,S,Club,SPARCStat,SPARC
6108,S,Local/regional/national sports body,SPARCStat,SPARC
6109,S,Regional sports trust,SPARCStat,SPARC
6110,S,Outdoor recreation/adventure group,SPARCStat,SPARC
6111,S,Not-for-profit organisation,SPARCStat,SPARC
6112,S,Community group,SPARCStat,SPARC
6113,S,Cultural group,SPARCStat,SPARC
6114,S,Early education centres,SPARCStat,SPARC
62,S,Waikato,SPARCloc,SPARC
63,S,Waimakariri,SPARCloc,SPARC
64,S,Waimate,SPARCloc,SPARC
65,S,Waipā,SPARCloc,SPARC
66,S,Wairoa,SPARCloc,SPARC
6600,S,Any level of funding,SPARCFund,SPARC
6601,S,"up to $1,000",SPARCFund,SPARC
6602,S,"$1,000-$5,000",SPARCFund,SPARC
6603,S,"$5,000-$15,000",SPARCFund,SPARC
6604,S,"$15,000-$50,000",SPARCFund,SPARC
6605,S,"$50,000-$100,000",SPARCFund,SPARC
6606,S,"over $100,000",SPARCFund,SPARC
6607,S,funding in kind only,SPARCFund,SPARC
67,S,Waitakere,SPARCloc,SPARC
68,S,Waitaki,SPARCloc,SPARC
69,S,Waitomo,SPARCloc,SPARC
7,S,Central Hawkes Bay,SPARCloc,SPARC
70,S,Wanganui,SPARCloc,SPARC
71,S,Wellington,SPARCloc,SPARC
7100,S,Any cost/activity,SPARCAct,SPARC
7101,S,Equipment,SPARCAct,SPARC
7102,S,Training/Study,SPARCAct,SPARC
7103,S,Administration,SPARCAct,SPARC
7104,S,Travel,SPARCAct,SPARC
7105,S,Accommodation,SPARCAct,SPARC
7106,S,Uniforms,SPARCAct,SPARC
7107,S,Venues,SPARCAct,SPARC
7108,S,Promotion,SPARCAct,SPARC
7109,S,Staging events,SPARCAct,SPARC
7110,S,Research,SPARCAct,SPARC
7111,S,Fees,SPARCAct,SPARC
7112,S,Publications,SPARCAct,SPARC
72,S,Western Bay of Plenty,SPARCloc,SPARC
73,S,Westland,SPARCloc,SPARC
74,S,Whakatāne,SPARCloc,SPARC
75,S,Whangarei,SPARCloc,SPARC
8,S,Central Otago,SPARCloc,SPARC
8100,S,Any sport or physical recreation,SPARCFoc,SPARC
8101,S,Outdoor recreation,SPARCFoc,SPARC
8102,S,Community recreation,SPARCFoc,SPARC
8104,S,National sport,SPARCFoc,SPARC
8105,S,Regional sport,SPARCFoc,SPARC
8106,S,Club sport,SPARCFoc,SPARC
8107,S,Study for sport/recreation,SPARCFoc,SPARC
9,S,Chatham Islands,SPARCloc,SPARC
B000000,B, Any fields of study,,Subject
B01,B,Māori,,Subject
B0101,B,Te Reo Me Tikanga Māori,,Subject
B02,B,Commerce/Management/Business,,Subject
B0201,B,Management Science,,Subject
B020102,B,Public Sector Management,,Subject
B020103,B,Human Resources,,Subject
B0202,B,Business Studies,,Subject
B020201,B,Secretarial/Office Systems,,Subject
B020202,B,Commerce,,Subject
B020302,B,Marketing / Public Relations / Sales,,Subject
B020303,B,Property Management/Real Estate,,Subject
B020304,B,Valuation,,Subject
B020305,B,Property,,Subject
B0204,B,Finance,,Subject
B020401,B,Accounting,,Subject
B020403,B,Insurance,,Subject
B0205,B,Economics,,Subject
B03,B,Health,,Subject
B030001,B,Māori Health,,Subject
B030002,B,Pacific Island Health,,Subject
B030003,B,Public Health,,Subject
B030004,B,Biomedicine,,Subject
B0301,B,Medicine,,Subject
B030103,B,Psychiatry,,Subject
B0302,B,Nursing,,Subject
B030202,B,Midwifery,,Subject
B0303,B,Health Sciences,,Subject
B030300,B,Opthalmology/Optometry,,Subject
B030301,B,Pharmacy,,Subject
B030302,B,Physiotherapy,,Subject
B030303,B,Occupational Therapy,,Subject
B030304,B,Radiography,,Subject
B030306,B,Chiropractice,,Subject
B030307,B,Speech Therapy,,Subject
B030308,B,Nutrition and Dietetics,,Subject
B030309,B,Podiatry,,Subject
B030310,B,Anaesthesiology,,Subject
B0304,B,Dentistry,,Subject
B030700,B,Clinical Research,,Subject
B039902,B,Occupational Safety and Health,,Subject
B039903,B,Alternative Therapies,,Subject
B04,B,Education,,Subject
B0401,B,School Teacher Education,,Subject
B040101,B,Early Childhood Education,,Subject
B040102,B,Primary School Teaching,,Subject
B040103,B,Secondary School Teaching,,Subject
B040104,B,Tertiary Teaching,,Subject
B040201,B,Teaching English as a Second Language,,Subject
B040202,B,Special Education,,Subject
B040203,B,Physical Education and Fitness Teach.,,Subject
B05,B,"Social Sciences, Humanities & Arts",,Subject
B0501,B,Social Work,,Subject
B050101,B,Psychology,,Subject
B050102,B,Sociology,,Subject
B050103,B,Politics,,Subject
B050104,B,History,,Subject
B050105,B,Geography,,Subject
B050106,B,Womens Studies,,Subject
B050107,B,Anthropology,,Subject
B050108,B,Samoan Studies,,Subject
B0502,B,Library and Information Services,,Subject
B0503,B,English,,Subject
B050301,B,Literature Studies,,Subject
B050302,B,Languages,,Subject
B050303,B,Classical Studies,,Subject
B050304,B,Creative Writing,,Subject
B050401,B,Religion and Theology,,Subject
B050402,B,Philosophy,,Subject
B050403,B,Archaeology,,Subject
B0505,B,Economics,,Subject
B0506,B,International Studies,,Subject
B0507,B,Linguistics,,Subject
B06,B,Sciences and Mathematics,,Subject
B060100,B,Earth Sciences/Geophysics,,Subject
B060101,B,Biological Science,,Subject
B060102,B,Environmental Science,,Subject
B060103,B,Soil Science,,Subject
B060104,B,Ecology,,Subject
B060200,B,Geology,,Subject
B060201,B,Physics,,Subject
B060202,B,Chemistry,,Subject
B060204,B,Astronomy,,Subject
B0603,B,Mathematics and Statistics,,Subject
B0604,B,Marine Studies,,Subject
B0605,B,Nutrition,,Subject
B0606,B,Opthalmology/Optometry,,Subject
B069901,B,Food Science,,Subject
B069902,B,Laboratory Technology,,Subject
B07,B,Engineering and Technology,,Subject
B0701,B,Civil Engineering,,Subject
B0702,B,Electrical and Electronic Engineering,,Subject
B070204,B,Heating/Ventilation/Air Conditioning,,Subject
B070205,B,Telecommunications,,Subject
B0703,B,Mechanical Engineering,,Subject
B070401,B,Materials Engineering,,Subject
B070402,B,Mining Engineering,,Subject
B079901,B,Chemical Engineering,,Subject
B079902,B,Aeronautical Engineering,,Subject
B079903,B,Production Engineering,,Subject
B079904,B,Marine Engineering,,Subject
B079905,B,Automotive Engineering,,Subject
B08,B,"Architecture, Planning & Construction",,Subject
B080101,B,Architecture,,Subject
B080102,B,Interior Design,,Subject
B0802,B,Building Construction/Carpentry,,Subject
B0803,B,Urban and Regional Planning,,Subject
B0804,B,Surveying and Cartography,,Subject
B089902,B,Quantity Surveying,,Subject
B09,B,"Agriculture, Forestry & Fisheries",,Subject
B0901,B,Agriculture,,Subject
B0902,B,Horticulture,,Subject
B0903,B,Forestry,,Subject
B0904,B,Fisheries,,Subject
B0906,B,Viticulture,,Subject
B0907,B,Apiculture,,Subject
B10,B,Computing and Information Technology,,Subject
B100102,B,Computer Science,,Subject
B100103,B,Information Management,,Subject
B11,B,Manufacturing,,Subject
B1105,B,Wool Processing,,Subject
B1106,B,Dairy Manufacturing,,Subject
B1107,B,Meat Processing,,Subject
B12,B,Music & Fine Arts,,Subject
B1201,B,Visual and Performing Arts,,Subject
B120100,B,Performance Music,,Subject
B120101,B,Music,,Subject
B120102,B,Fine Art & Art History,,Subject
B120103,B,Photography,,Subject
B120104,B,Design,,Subject
B120105,B,"Film, television",,Subject
B120106,B,Performing Arts,,Subject
B120107,B,Indigenous Arts & Crafts,,Subject
B120108,B,Clothing and Textiles,,Subject
B120109,B,Sculpture,,Subject
B120110,B,Crafts,,Subject
B120111,B,Fashion,,Subject
B13,B,Law & Law Enforcement,,Subject
B1301,B,Law,,Subject
B14,B,"Journalism, Media, Communication",,Subject
B1401,B,Communication,,Subject
B1402,B,Journalism,,Subject
B1403,B,Film and Electronic Media,,Subject
B1404,B,Broadcasting,,Subject
B15,B,"Sport, Recreation, Tourism, Hospitality",,Subject
B1500,B,Sport,,Subject
B1501,B,Recreation,,Subject
B1502,B,Hospitality Services,,Subject
B150202,B,Tourism,,Subject
B16,B,Transport,,Subject
B1601,B,Shipping and Seamanship,,Subject
B1602,B,Aviation,,Subject
B1603,B,Road and Rail Transport,,Subject
B17,B,Veterinary Studies,,Subject
D000000,D, Any type of funding,non-academic,Type of Funding
D000048,D,primary school,school,Type of Funding
D000049,D,secondary school,school,Type of Funding
D000050,D,primary or secondary school,school,Type of Funding
D000051,D,undergraduate/other tertiary all yrs,academic,Type of Funding
D000052,D,graduate or postgraduate study,academic,Type of Funding
D000053,D,research,academic,Type of Funding
D000054,D,travel,non-academic,Type of Funding
D000055,D,professional development/training,non-academic,Type of Funding
D000056,D,undergraduate (first year only),academic,Type of Funding
D000058,D,"sport, recreation, Outward Bound",non-academic,Type of Funding
D000059,D,"arts, culture etc",non-academic,Type of Funding
D000060,D,grants/loans,non-academic,Type of Funding
D000061,D,fellowship,academic,Type of Funding
D000062,D,Residency,non-academic,Type of Funding
D000063,D,Doctoral,academic,Type of Funding
F000000,F, Any organisation,not specified,Institution
F1,F,Any New Zealand institution,Any NZ inst incl schools,Institution
F2,F,Any New Zealand university,Any NZ university,Institution
F207001,F,The University of Auckland,Auckland,Institution
F207002,F,The University of Waikato,Waikato,Institution
F207003,F,Massey University,Massey,Institution
F207004,F,Victoria University of Wellington,VUW,Institution
F207005,F,University of Canterbury,Canterbury,Institution
F207006,F,Lincoln University,Lincoln,Institution
F207007,F,University of Otago,Otago,Institution
F207008,F,Auckland University of Technology,AUT,Institution
F208630,F,Te Wānanga o Aotearoa,Te Wananga o Aotearoa,Institution
F209241,F,Te Wānanga o Raukawa,Te Wananga o Raukawa,Institution
F209386,F,Te Whare Wānanga o Awanuiārangi,Te Whare Wananga o Awanuiarangi,Institution
F299001,F,New Zealand School of Music,School of Music,Institution
F3,F,Any New Zealand polytechnic,Any NZ poly,Institution
F306001,F,Aoraki Polytechnic,Specific NZ polys,Institution
F306003,F,Bay of Plenty Polytechnic,Specific NZ polys,Institution
F306004,F,UNITEC,Specific NZ polys,Institution
F306006,F,Christchurch Polytech Inst of Tech,Specific NZ polys,Institution
F306007,F,Eastern Institute of Technology,Specific NZ polys,Institution
F306008,F,Wellington Institute of Technology,Specific NZ polys,Institution
F306009,F,Universal College of Learning (UCOL),Specific NZ polys,Institution
F306010,F,Manukau Institute of Technology,Specific NZ polys,Institution
F306011,F,Nelson Marlborough Institute of Tech,Specific NZ polys,Institution
F306012,F,Northland Polytechnic,Specific NZ polys,Institution
F306013,F,Otago Polytechnic,Specific NZ polys,Institution
F306014,F,Whitireia Community Polytechnic,Specific NZ polys,Institution
F306015,F,Southern Institute of Technology,Specific NZ polys,Institution
F306017,F,Western Institute of Tech. Taranaki,Specific NZ polys,Institution
F306018,F,Waiariki Institute of Technology,Specific NZ polys,Institution
F306019,F,Waikato Institute of Technology,Specific NZ polys,Institution
F306022,F,Open Polytechnic of NZ,Specific NZ polys,Institution
F306024,F,Tai Poutini Polytechnic,Specific NZ polys,Institution
F308505,F,Telford Rural Polytechnic,Specific NZ polys,Institution
F4-9013,F,NZ Motor Industry Training Org. (Inc),Industry Training Organisation,Institution
F407389,F,Raffles Design Institute,Other NZ Institution,Institution
F407647,F,New Zealand School of Education,Other NZ Institution,Institution
F407694,F,Queenstown Resort College,Other NZ Institution,Institution
F408277,F,International Travel College of New Zealand,Other NZ Institution,Institution
F408441,F,Quantum Education Group Limited,Other NZ Institution,Institution
F408457,F,Pacific International Hotel Managemen,Other NZ Institution,Institution
F408458,F,Yoobee School of Design,Other NZ Institution,Institution
F408488,F,Computer Power Institute,Other NZ Institution,Institution
F408502,F,Toi Whakaari: NZ Drama School,Other NZ Institution,Institution
F408504,F,Taratahi Agriculture Training Centre,Other NZ institution,Institution
F408530,F,Auckland Institute of Studies,Other NZ Institution,Institution
F408550,F,International Pacific College,Other NZ institution,Institution
F408644,F,Crown Institute of Studies,Other NZ Institution,Institution
F408656,F,Design & Arts College of New Zealand,Other NZ Institution,Institution
F408694,F,Bethlehem Tertiary Institute,Other NZ Institution,Institution
F409247,F,Westport Deep Sea Fishing School,Other NZ institution,Institution
F409402,F,Outward Bound,Other NZ Institution,Institution
F409410,F,The Learning Connexion,Other NZ Institution,Institution
F409872,F,BEST Pacific Institute of Education,Other NZ Institution,Institution
F499002,F,Henley Management College,Other NZ institution,Institution
H2,H, Outside NZ,,Country of Study
H201,H,Australia,,Country of Study
H202,H,Britain,,Country of Study
H203,H,USA,,Country of Study
H204,H,Continental Europe,,Country of Study
H205,H,South Pacific,,Country of Study
H206,H,China,,Country of Study
H207,H,Japan,,Country of Study
H208,H,South East Asia,,Country of Study
H209,H,Canada,,Country of Study
H210,H,Middle East,,Country of Study
H211,H,South America,,Country of Study
H212,H,Central America,,Country of Study
H213,H,Sri Lanka,,Country of Study
H214,H,Hong Kong,,Country of Study
H215,H,Germany,,Country of Study
H216,H,Taiwan (Province of China),,Country of Study
H217,H,Singapore,,Country of Study
J1,J,awards specifically for men,,Gender
J2,J,awards specifically for women,,Gender
J800000,J, not applicable,,Gender
K000051,K,Māori,,Ethnicity
K800000,K, not applicable,,Ethnicity
K800002,K,Pacific Islander,,Ethnicity
K800003,K,Thai,,Ethnicity
K800004,K,Korean,,Ethnicity
K800005,K,Japanese,,Ethnicity
K800006,K,Taiwanese,,Ethnicity
K800007,K,Malaysian,,Ethnicity
K800008,K,Singaporean,,Ethnicity
K800009,K,Hong Kong,,Ethnicity
K800010,K,Polish,,Ethnicity
K800011,K,Australian,,Ethnicity
K800021,K,Niuean,,Ethnicity
K800022,K,Samoan,,Ethnicity
K800023,K,Cook Islander,,Ethnicity
K800024,K,Tokelauan,,Ethnicity
K800025,K,Tongan,,Ethnicity
K800026,K,Fijian,,Ethnicity
K800027,K,Solomon Islander,,Ethnicity
K800028,K,US Citizen,,Ethnicity
K800029,K,Chinese,,Ethnicity
K800030,K,Indian,,Ethnicity
K800031,K,Indonesian,,Ethnicity
K800032,K,Vietnamese,,Ethnicity
